url	name	authors	genres	cycle	annotation	date
https://author.today/work/396750	Имя нам Легион. Том 6	"[""Дорничев Дмитрий"",""Евгений Лисицин""]"	"[""Роман"",""Бояръ-Аниме"",""РеалРПГ"",""Боевая фантастика""]"	Меж двух миров	"Привет, лысая обезьяна! Что? Удивлён, увидев пришельца? Ха! Поверь, лучше я, чем Рой чудовищ, пожирающий миры. Он, кстати, прилетит лет так через десять, и всем вам хана.Что? Хочешь выжить? Тогда вступай в Легион!Легион — это возможность заработать! А деньги — это твоё спасение. И да... Никому не рассказывай про Легион. Тебе всё равно никто не поверит.Первый том тут https://author.today/work/368661                
                        Примечания автора:
                        Мы старались сделать лёгкую и необычную историю с элементами фантастики, бояръаниме, без соплей, превозмогания и серой морали. Получилось ли у нас... Для этого нужно читать. И да, хвалить авторов это хорошо и правильно. Автор человек простой, когда его хвалят он пишет проду. Когда ругают проду он тоже пишет, но при этом грустно. А ещё может слезами залить клавиатуру...Обложку сделали тут: https://vk.com/drakart"	2024-12-04T21:15:05.7130000Z
https://author.today/work/389629	Двойник Короля	"[""Артемий Скабер""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Бытовое фэнтези""]"	Двойник Короля	"Я был двойником короля. Участвовал в войнах, сражался с целыми странами, захватил почти весь мир и пережил 665 покушений. Но последнее… Не ожидал, что нападёт демон. Битва вышла жаркой, и мы оба погибли. Но это не конец!Каким-то образом моя душа и магический источник оказались в теле безземельного барона. Еще один шанс, где жизнь принадлежит только мне? Согласен! Уже придумал, что делать и куда двигаться, но тут меня похитили. Заперли в комнате с телом юного наследника рода Магинских. Всё бы ничего, вот только моё новое тело — точная копия покойника… Да как так?! Снова двойник? Моя судьба повторяется?Ну уж нет! Теперь у меня есть опыт правителя и уникальный магический источник. В этой жизни я не буду играть роль. Я стану правителем по-настоящему!                
                        Примечания автора:
                        🔥 Прода каждый день в 00:00 по МСК.😍 Другие мои завершенные серии книг в жанре Бояръ-аниме:""Солнцев. Восход"" 12 книг - https://author.today/reader/298815""Проклятый Лекарь"" 5 книг - https://author.today/reader/275057"	
https://author.today/work/399721	Идеальный мир для Демонолога 5	"[""Ковтунов Алексей"",""Олег Сапфир""]"	"[""Роман"",""Юмор"",""Бояръ-Аниме"",""Боевая фантастика""]"	Демонолог	Это были обычные демонологи, которые хотели призвать обычного демона... Но что-то в момент призыва пошло не так. Да и, впрочем, какая им разница - Демон или Демонолог? Результат для них, в любом случае, будет веселым. Ведь меня зовут Константин, и я не рядовой демонолог... Если обычно людей пугают демонами, то здесь ситуация другая. Это демонов пугают мной...	2024-12-04T21:00:05.0700000Z
https://author.today/work/398031	#Бояръ-Аниме. Газлайтер. Том 19	"[""Григорий Володин""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы"",""Боевое фэнтези""]"	История Телепата	"Аннотацию добавила Змейка в кофе для мазаки, чтобы было вкуснее, фака!                
                        Примечания автора:
                        ❗ Первая книга здесь: https://author.today/work/285158❗ Развлекательная история про сильного гг под оркестр из баянов и роялей, с фансервисом❗ Больше подписок на профиль, лайков и поддержки от читателей - быстрее продаПрода каждый день в 0 15 мск. Если не пишу в коммах иначе."	2024-12-04T21:00:04.8970000Z
https://author.today/work/394031	Гардемарин Ее Величества. Инкарнация	"[""Валерий Пылаев"",""Юрий Уленгов""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы"",""Альтернативная история""]"	Гардемарин ее величества	"Я дал императору корону. Верным мне князьям — богатство и власть. Стране — почти четверть века покоя и мира. Я был готов ко всему, даже к собственной смерти.Но меня подвели. Оставили в небытии на долгих десять лет и вернули в этот мир, лишь когда взятое взаймы благополучие начало трещать по швам.На дворе две тысячи пятнадцатый год, почти вся моя семья уничтожена, Империя на пороге войны, и все, чем я располагаю — новое юное тело, наделенное мощью Конструктов... Не так уж и плохо. Особенно если знаешь, с кого спросить за все, что случилось. Меня зовут Владимир Острогорский. Один раз я навел в столице порядок, и сделаю это снова. Нравится вам это или нет.                
                        Примечания автора:
                        ✅Глава каждый будний день в 00:15. Планово. В отдельных случаях возможны пропуски и/или появление внезапной проды на выходных. Планируется серия.✅Лайки и комментарии стимулируют писать быстрее и лучше.✅Мы честно стараемся, но абсолютную логическую, историческую, естественнонаучную, психологическую и какую-либо еще достоверность следует искать в другом месте. Это развлекательная книга.✅Герой не глупый, герой отважный! А также везучий, обаятельный, привлекательный и самый крутой. Иначе он не был бы героем, ведь так?✅Это не рояль, это удачное совпадение! Да, и это тоже.✅Лучше хвалить, чем ругать. Но лучше ругать, чем молчать. Мы не кусаемся)✅Автор тоже человек."	2024-12-04T21:15:06.7900000Z
https://author.today/work/395915	Тёмный Лекарь 8	"[""Вай Нот"",""Саша Токсик""]"	"[""Роман"",""Бояръ-Аниме"",""Боевое фэнтези"",""Попаданцы""]"	Тёмный Лекарь	"Я лёг в свой склеп передохнуть на пару десятков лет, но когда проснулся, прошли века.Мой замок разрушен, клан исчез, а некромантов все считают детской сказкой.Меня принимают за лекаря.А всё потому, что мир болен.И пришло время сильнодействующих средств.                
                        Примечания автора:
                        Это восьмой том!Первый том здесь: https://author.today/work/339020Прода 5 дней в неделю.Выходные: вторник и пятницаВ остальные дни, прода выходит в течение ночи"	2024-12-05T01:00:15.1530000Z
https://author.today/work/399101	Неудержимый. Книга XXV	"[""Андрей Боярский""]"	"[""Роман"",""Попаданцы в магические миры"",""Боевое фэнтези"",""Бояръ-Аниме""]"	Неудержимый	"🔥 Первая книга ""Неудержимый"" по ссылке - https://author.today/reader/265754Несколько часов назад я был одним из лучших убийц на планете. Мой рейтинг среди коллег был на недосягаемом для простых смертных уровне, а силы практически безграничны. Мировая элита стояла в очереди за моими услугами и замирала в страхе, когда я брал чужой заказ. Они правильно делали, ведь в этом заказе мог оказаться любой из них.Чёрт! Поверить не могу, что я так нелепо сдох! Что же случилось? В моей памяти не нашлось ничего, что могло бы объяснить мою смерть. Благо, судьба подарила мне второй шанс в теле юного барона. Я должен снова получить свою силу и вернуться назад! Вот только есть одна небольшая проблемка… Как это сделать? Если я самый слабый ученик в интернате для одарённых детей?!                
                        Примечания автора:
                        💘 Информация по книгам: https://boosty.to/aboyarsky🔥 Моя телега: https://t.me/mir_boyarsky💘 Друзья, ваши лайки и комментарии придают мне заряд бодрости на весь день.🔥 ГЛАВЫ КАЖДЫЙ ДЕНЬ В 00-00 по МСК"	2024-12-04T21:00:04.7430000Z
https://author.today/work/397616	Законник Российской Империи	"[""Оливер Ло"",""Ткачев Андрей""]"	"[""Роман"",""Бояръ-Аниме"",""Городское фэнтези"",""Альтернативная история""]"	Словом и делом	"Смерть, как ни странно, для меня стала лишь новым началом. Я, бывший юрист, очнулся младенцем в мире, где слова способны менять саму реальность. Теперь я бастард министра финансов. В этой версии Российской Империи интриги опаснее кинжала, а магия ‒  инструмент, который доступен лишь избранным. Однако одной магии недостаточно, чтобы выжить. Словом и Делом я докажу, что достоин стоять на вершине.                
                        Примечания автора:
                        История о расчетливом и проницательном герое, который предпочитает побеждать умом, а не силой. В мире, где магия подчиняется истинным словам, а интриги становятся частью повседневной жизни, Максим действует как опытный игрок в шахматы – всегда на несколько ходов вперед. Он саркастичен, но справедлив, опасен, но не жесток. Это история о том, как в водовороте столичных интриг и магических тайн можно остаться человеком, даже если приходится использовать чужие слабости и манипулировать врагами. Неспешное повествование, продуманные характеры и тонкая политическая игра – для тех, кто ценит умных героев, элегантные решения и интересную, но не всемогущую магию."	2024-12-05T10:00:15.7770000Z
https://author.today/work/398472	Дух Древнего	"[""Четвертнов Александр"",""Артемий Скабер""]"	"[""Роман"",""Бояръ-Аниме"",""Боевое фэнтези"",""Попаданцы""]"	Дух Древнего	"Они хотели призвать титанов и покорить мир, но призвали того, кто заточил титанов в Тартар.Я Кириллос Аэтос, Великий Маг и герой Древней Греции. Долгие годы я находился в царстве мёртвых.  Боги исчезли и мне пришлось приглядывать за Цербером, и другими монстрами. Но кто-то решил призвать меня и забрать мою силу, использовать ее как топливо для своих амбиций.Они просчитались. Я вернулся в мир живых и…В смысле прошло три тысячи лет? В смысле Российская Империя? Что ещё за аристократы? Эй, а что вы сделали с магией? Почему она такая слабая? Да вы не умеете с ней обращаться. Но я покажу, как надо...                
                        Примечания автора:
                        Это первая книга серии.Планируется точно больше трёх книг и до...Прода каждый день после 00:15 по МСКВнимание:✔️ Авторы не специалисты в истории Древней Греции, но стараются изучить тему.✔️ Это в первую очередь развлекательная литература✔️ Все очепятки присылайте в ЛС любому автору."	2024-12-04T22:59:20.3430000Z
https://author.today/work/398332	Артефакт острее бритвы	"[""Павел Корнев""]"	"[""Роман"",""Фэнтези"",""Боевое фэнтези"",""Приключения""]"	Чертополох	"Я был связан зароком не брать чужого, только попробуй — сдержи его, когда у тебя нет ничего своего, даже имени. Пришлось выкручиваться и выдавать себя за другого, развивать колдовской талант и становиться адептом не хуже прочих.И своего я добился – да, но с тем же успехом мог выстроить песочный замок в надежде на то, что его не смоет набежавшая на берег волна. Смоет! Непременно смоет! Убийцы не отступятся и выполнят заказ не сегодня, так завтра. И раз уж чужое впрок не идёт, значит, пришла пора обзавестись собственным именем — моим и только моим. Остальное приложится. За остальным дело не станет.                
                        Примечания автора:
                        Первые три недели - график плавающий. Далее - 2 главы в неделю по средам в 00:15 Мск"	2024-12-04T21:15:05.4630000Z
https://author.today/work/396419	Черный Маг Императора 13	"[""Александр Герда""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Юмор""]"	Черный маг императора	"Я Максим Темников. Мне четырнадцать лет и во мне живет дух некроманта.Я учусь в магической школе и регулярно попадаю в кабинет директора за всякую ерунду.А еще я обладаю Темным даром и могу… Стоп! Об этом потом. По-моему, я опять нашел какое-то приключение…                
                        Примечания автора:
                        Очень хотелось написать легкую, интересную историю с магией, которая доставит вам удовольствие и не будет напрягать. Хочется думать, что мне это удалось.Лайки, комменты, награды и подписки очень сильно мотивируют)ВЫКЛАДКА: Первые 11 глав ежедневно в 00:15, потом через день в то же время.Обложку сделали тут: https://vk.com/drakart"	2024-12-03T21:15:12.7770000Z
https://author.today/work/395384	Имперский Курьер	"[""Вова Бо"",""Дмитрий Ра""]"	"[""Роман"",""Бояръ-Аниме"",""Боевое фэнтези"",""Попаданцы""]"	Запечатанный мир	"Аннотация от Ра:Курьеров вроде меня — с большой буквы — нанимают не потому, что лень сходить за бургером. Меня зовут, когда даже у богов нет других вариантов. Цена за мои услуги далеко не всегда измеряется деньгами.Курьер может провалить заказ лишь один раз в жизни. И я свой провалил.Но раз я был лучшим из лучших, у меня появился последний шанс.Новое и беспомощное тело. Закрытый мир. Сложнейший заказ даже для Курьера в полной силе.Вот только мои враги еще не знают, что это не меня заперли с ними, а их заперли со мной.Аннотация от Бо:Легендарная.                
                        Примечания автора:
                        🌍 От Бо: Главы каждый день, включая выходные в 0.15 по Мск.🌎 Бо и Ра ищут третьего соавтора с псевдонимом Та, но любить не обещаем.🌏 Если что-то в тексте непонятно, спрашивайте Ра, это он все поудалял. Если все нравится, я так и задумывал.🌍 Хочу поблагодарить Ра за помощь, без него эта книга вышла бы на два месяца раньше.🌎 Хочу поблагодарить Бо за нервный тик. Беги, Та, беги...🌏Обложку сделали здесь: https://vk.com/drakart"	2024-12-04T21:15:05.9500000Z
https://author.today/work/398595	Приручитель женщин-монстров. Том 12	"[""Дорничев Дмитрий""]"	"[""Роман"",""Бояръ-Аниме"",""Приключения"",""Юмор""]"	Покемоны? Какие покемоны?	"Копипаста с первого тома""Жил-был не тужил. Охотился на монстров, качал бицепсы, и бац! Ты талант, ты приручитель иди в академию... Да вы офигели? Тут все монстры ссутся лишь от одного взгляда на меня. Как мне их приручать? Идите в сраку... Думал я. Но жизнь та ещё коварная дрянь...""                
                        Примечания автора:
                        Первый том тут https://author.today/work/352749Это суперлёгкая боярка с юмором, красотками но без обилия интима. И здесь нет бульбазавров, здесь лучше - бульбамавр!Тут более интересные и горячие арты https://boosty.to/ordanОбложку сделали тут: https://vk.com/drakart"	2024-12-05T04:00:05.6470000Z
https://author.today/work/393801	Я все еще князь. Книга XXI	"[""Сириус Дрейк""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Юмор""]"	Дорогой барон!	"Двадцать первая книга! Вы и так вкурсе, что будет дальше!Всякие взрывы! Крутые штуки! Интриги! И щепотка Валеры! П.С. герой может пощупать Лору! (я знаю, вы этого хотели!)                
                        Примечания автора:
                        Первая книга цикла: https://author.today/work/284841ВАЖНО! ГЛАВЫ ВЫХОДЯТ В 00:00 или чуть позже...Все персонажи и события вымышлены, любые совпадения случайны и блаблабла. Автор не гарантирует историческую достоверность. Если вы нашли ошибки в тексте, просьба писать в личные сообщения!Хотя это, наверное, никто уже и не читает..."	2024-12-04T21:00:05.2100000Z
https://author.today/work/395753	Родословная. Том 1	"[""Ткачев Андрей""]"	"[""Роман"",""Бояръ-Аниме"",""Городское фэнтези"",""Героическое фэнтези""]"	Линия крови	"Уснуть и проснуться спустя несколько веков ‒ довольно занятный опыт, который я точно не хотел испытывать на себе. Мир за это время изменился очень сильно, но люди, что не удивительно, остались теми же. Моя родословная за это время была практически уничтожена, а бывшие родственники, как оказалось, все это время вели свою игру. Ну что же, пора в неё войти давно забытой фигуре и показать, чья линия крови сильнее.                
                        Примечания автора:
                        Новая серия в жанре боярки про героя, которого я уже давно хотел написать.Финальная обложка создана художником narninskaya - https://vk.com/nrnnskВременная обложка создана: DrakArt - https://vk.com/drakart"	2024-12-04T21:15:05.0570000Z
https://author.today/work/393049	Прорвёмся, опера!	"[""Никита Киров"",""Рафаэль Дамиров""]"	"[""Роман"",""Попаданцы во времени"",""Альтернативная история"",""Боевик""]"	Опер	"Я пошел по стопам погибшего отца. Стал ментом и дослужился до полковника. Много лет я искал подонков, которые его застрелили, пока однажды сам не погиб при исполнении. Но я не умер. Мое сознание перенеслось в прошлое, и я оказался в 1996-м году. На дворе лихие 90-е, в стране разгул преступности, а оперативники ходят на работу, как на войну. Я снова молодой опер из убойного. Отец ещё жив, а где-то рядом скрывается его убийца. Но в этот раз я смогу исправить многое, ведь я уже не зеленый летёха! Прорвёмся, опера!                
                        Примечания автора:
                        Новые главы каждый день"	2024-12-04T21:00:23.3630000Z
https://author.today/work/350152	Игра Хаоса. Книга двенадцатая	"[""Алексей Свадковский""]"	"[""Роман"",""РеалРПГ"",""Боевое фэнтези"",""Боевая фантастика""]"	Игра Хаоса	Порой, самое трудное после свершения подвига- это просто вернуться домой, сумев спастись самому и сберечь тех, кто с тобой рядом. Любое путешествие  таит в себе угрозы и опасности, особенно, если оно проходит по Бездне, а враги жаждут с тобой поквитаться. И скоро героям предстоит узнать, что попасть в Бездну гораздо легче, чем выбраться из нее назад...	
